book,bookLabel,authorLabel,publisherLabel,countryLabel,year,languageLabel,genreLabel
http://www.wikidata.org/entity/Q23307366,13 Great Stories of Science Fiction,Артур Чарльз Кларк,Gold Medal Books,США,1960,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7728333,The Crystal Horde,Эрик Темпл Белл,Fantasy Press,США,1952,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7759911,The Red Peri,Стенли Вейнбаум,Fantasy Press,США,1952,английский язык,научная фантастика
http://www.wikidata.org/entity/Q4691073,Да не настанет ночь,Артур Чарльз Кларк,Gnome Press,США,1953,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7445965,Корабль сити,Джек Уильямсон,Gnome Press,США,1951,английский язык,научная фантастика
http://www.wikidata.org/entity/Q6943670,Mutant,Lewis Padgett,Gnome Press,США,1953,английский язык,научная фантастика
http://www.wikidata.org/entity/Q39053476,"Человек, любивший Марс",Лин Картер,Gold Medal Books,США,1973,английский язык,фэнтези
http://www.wikidata.org/entity/Q4808865,Предназначение: вечность,Роберт Хайнлайн,Fantasy Press,США,1953,английский язык,научная фантастика
http://www.wikidata.org/entity/Q17016463,Judgment Night,Кэтрин Люсиль Мур,Gnome Press,США,1952,английский язык,научная фантастика
http://www.wikidata.org/entity/Q3223001,Серый Ленсмен,Эдвард Элмер Смит,Fantasy Press,США,1951,английский язык,научная фантастика
http://www.wikidata.org/entity/Q4681371,Address: Centauri,F. L. Wallace,Gnome Press,США,1955,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7445706,Seeds of Life,Эрик Темпл Белл,Fantasy Press,США,1951,английский язык,научная фантастика
http://www.wikidata.org/entity/Q3305686,Rogue Moon,Альгис Будрис,Gold Medal Books,США,1960,английский язык,научная фантастика
http://www.wikidata.org/entity/Q3225864,Первый Ленсмен,Эдвард Элмер Смит,Fantasy Press,США,1950,английский язык,научная фантастика
http://www.wikidata.org/entity/Q3231682,Кометчики,Джек Уильямсон,Fantasy Press,США,1950,английский язык,научная фантастика
http://www.wikidata.org/entity/Q23307366,13 Great Stories of Science Fiction,Уаймен Гвин,Gold Medal Books,США,1960,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7718446,Путь чёрной звезды,Джон Вуд Кэмпбелл,Fantasy Press,США,1953,английский язык,научная фантастика
http://www.wikidata.org/entity/Q5760017,Highways in Hiding,George O. Smith,Gnome Press,США,1956,английский язык,научная фантастика
http://www.wikidata.org/entity/Q5174066,Космические инженеры,Клиффорд Дональд Саймак,Gnome Press,США,1950,английский язык,научная фантастика
http://www.wikidata.org/entity/Q6865659,Minions of the Moon,William Gray Beyer,Gnome Press,США,1950,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7752154,Лунный ад,Джон Вуд Кэмпбелл,Fantasy Press,США,1950,английский язык,научная фантастика
http://www.wikidata.org/entity/Q839800,Основание и Империя,Айзек Азимов,Gnome Press,США,1952,американский вариант английского языка,научная фантастика
http://www.wikidata.org/entity/Q7766324,Звёздный человек,Ли Брэкетт,Gnome Press,США,1952,английский язык,научная фантастика
http://www.wikidata.org/entity/Q3233793,The Vortex Blaster,Эдвард Элмер Смит,Gnome Press,США,1960,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7797864,Three Thousand Years,Thomas Calvert McClary,Fantasy Press,США,1954,английский язык,научная фантастика
http://www.wikidata.org/entity/Q3209683,Большое время,Фриц Лейбер,Gregg Press,США,1958,английский язык,научная фантастика
http://www.wikidata.org/entity/Q23307366,13 Great Stories of Science Fiction,Альгис Будрис,Gold Medal Books,США,1960,английский язык,научная фантастика
http://www.wikidata.org/entity/Q2666627,Дети Мафусаила,Роберт Хайнлайн,Gnome Press,США,1958,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7739780,The History of Civilization,Эдвард Элмер Смит,Fantasy Press,США,1961,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7751007,The Menace from Earth,Роберт Хайнлайн,Gnome Press,США,1959,английский язык,научная фантастика
http://www.wikidata.org/entity/Q1219445,Путь вниз,Ричард Мэтисон,Gold Medal Books,США,1956,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7771676,The Unpleasant Profession of Jonathan Hoag,Роберт Хайнлайн,Gnome Press,США,1959,английский язык,фэнтези
http://www.wikidata.org/entity/Q2943384,Masters of Time,Альфред ван Вогт,Fantasy Press,США,1950,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7734835,Забытая планета,Мюррей Лейнстер,Gnome Press,США,1954,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7314280,Reprieve from Paradise,H. Chandler Elliott,Gnome Press,США,1955,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7736482,"Девушка, золотые часы… и всё остальное",Джон Данн Макдональд,Gold Medal Books,США,1962,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7549689,Как стать волшебником,Диана Дуэйн,Harcourt,США,1983,английский язык,фэнтези
http://www.wikidata.org/entity/Q3786241,Earthman's Burden,Пол Уильям Андерсон,Gnome Press,США,1957,английский язык,научная фантастика
http://www.wikidata.org/entity/Q4900041,Beyond Thirty,Эдгар Райс Берроуз,Fantasy Press,США,1955,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7739125,The Heads of Cerberus,Гертруда Бэрроус Беннетт,Fantasy Press,США,1952,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7859242,Драгоценности в лесу,Фриц Лейбер,Gnome Press,США,1957,английский язык,фэнтези
http://www.wikidata.org/entity/Q853927,Второй фонд,Айзек Азимов,Gnome Press,США,1953,английский язык,научная фантастика
http://www.wikidata.org/entity/Q23307366,13 Great Stories of Science Fiction,Пол Уильям Андерсон,Gold Medal Books,США,1960,английский язык,научная фантастика
http://www.wikidata.org/entity/Q5250359,Глубокое волшебство,Диана Дуэйн,Harcourt,США,1985,английский язык,фэнтези
http://www.wikidata.org/entity/Q753894,Основание,Айзек Азимов,Gnome Press,США,1951,английский язык,научная фантастика
http://www.wikidata.org/entity/Q5241444,David and the Phoenix,Эдвард Ормондруа,Follett Corporation,США,1957,английский язык,фэнтези
http://www.wikidata.org/entity/Q6083759,Islands of Space,Джон Вуд Кэмпбелл,Fantasy Press,США,1957,английский язык,научная фантастика
http://www.wikidata.org/entity/Q2275275,"Марсиане, убирайтесь домой!",Фредерик Браун,Dutton,США,1955,английский язык,научная фантастика
