book,bookLabel,author,authorLabel,genreLabel,pubDate,publisherLabel
http://www.wikidata.org/entity/Q149552,Противостояние,http://www.wikidata.org/entity/Q39829,Стивен Кинг,научная фантастика,1978-09-01T00:00:00Z,Doubleday
http://www.wikidata.org/entity/Q128506,Долгий джонт,http://www.wikidata.org/entity/Q39829,Стивен Кинг,научная фантастика,1981-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1056887,The War with the Fnools,http://www.wikidata.org/entity/Q171091,Филип Дик,научная фантастика,1964-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1134830,Меж двух времён,http://www.wikidata.org/entity/Q115674,Уолтер Брейден Финней,научная фантастика,1970-01-01T00:00:00Z,Simon & Schuster
http://www.wikidata.org/entity/Q1132953,Книга черепов,http://www.wikidata.org/entity/Q314553,Роберт Силверберг,научная фантастика,1971-12-01T00:00:00Z,Charles Scribner's Sons
http://www.wikidata.org/entity/Q738342,Hegira,http://www.wikidata.org/entity/Q317491,Грег Бир,научная фантастика,1979-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q132062,Резец небесный,http://www.wikidata.org/entity/Q181659,Урсула Крёбер Ле Гуин,научная фантастика,1971-03-01T00:00:00Z,
http://www.wikidata.org/entity/Q429159,Венера плюс икс,http://www.wikidata.org/entity/Q240253,Теодор Старджон,научная фантастика,1960-09-01T00:00:00Z,Jove Books
http://www.wikidata.org/entity/Q576737,The Guardians,http://www.wikidata.org/entity/Q552025,Джон Кристофер,научная фантастика,1970-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q600821,Книга грёз,http://www.wikidata.org/entity/Q312632,Джек Вэнс,научная фантастика,1981-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q466790,Мёртвая зона,http://www.wikidata.org/entity/Q39829,Стивен Кинг,научная фантастика,1979-08-16T00:00:00Z,Viking Press
http://www.wikidata.org/entity/Q734976,Князь Света,http://www.wikidata.org/entity/Q295406,Роджер Желязны,научная фантастика,1967-01-01T00:00:00Z,Doubleday
http://www.wikidata.org/entity/Q674586,Джонни-мнемоник,http://www.wikidata.org/entity/Q188987,Уильям Гибсон,научная фантастика,1981-05-01T00:00:00Z,
http://www.wikidata.org/entity/Q462560,Игроки с Титана,http://www.wikidata.org/entity/Q171091,Филип Дик,научная фантастика,1963-01-01T00:00:00Z,Ace Books
http://www.wikidata.org/entity/Q41359,Колыбель для кошки,http://www.wikidata.org/entity/Q49074,Курт Воннегут,научная фантастика,1963-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q265954,"Бойня номер пять, или Крестовый поход детей",http://www.wikidata.org/entity/Q49074,Курт Воннегут,научная фантастика,1969-03-01T00:00:00Z,Dell Publishing
http://www.wikidata.org/entity/Q1212739,Степфордские жёны,http://www.wikidata.org/entity/Q317631,Айра Левин,научная фантастика,1972-09-01T00:00:00Z,Random House
http://www.wikidata.org/entity/Q1217469,Transit,http://www.wikidata.org/entity/Q1286138,Эдмунд Купер,научная фантастика,1964-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q832023,Думай!,http://www.wikidata.org/entity/Q34981,Айзек Азимов,научная фантастика,1977-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1748976,Зелёный мозг,http://www.wikidata.org/entity/Q7934,Фрэнк Герберт,научная фантастика,1966-01-01T00:00:00Z,Ace Books
http://www.wikidata.org/entity/Q751752,Встреча с Хичи,http://www.wikidata.org/entity/Q312641,Фредерик Пол,научная фантастика,1984-05-01T00:00:00Z,Del Rey Books
http://www.wikidata.org/entity/Q466253,Лабиринт смерти,http://www.wikidata.org/entity/Q171091,Филип Дик,научная фантастика,1970-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q766404,Порог между мирами,http://www.wikidata.org/entity/Q171091,Филип Дик,научная фантастика,1966-01-01T00:00:00Z,Ace Books
http://www.wikidata.org/entity/Q1096044,The Incredible Tide,http://www.wikidata.org/entity/Q905100,Александр Ки,научная фантастика,1970-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q816016,Игра Эндера,http://www.wikidata.org/entity/Q217110,Орсон Скотт Кард,научная фантастика,1985-01-01T00:00:00Z,Tor Books
http://www.wikidata.org/entity/Q785091,Мы вас построим,http://www.wikidata.org/entity/Q171091,Филип Дик,научная фантастика,1972-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q377230,Роботы и Империя,http://www.wikidata.org/entity/Q34981,Айзек Азимов,научная фантастика,1985-09-01T00:00:00Z,
http://www.wikidata.org/entity/Q208461,1985,http://www.wikidata.org/entity/Q217619,Энтони Бёрджесс,научная фантастика,1978-01-01T00:00:00Z,Hutchinson
http://www.wikidata.org/entity/Q467225,Почтальон,http://www.wikidata.org/entity/Q315069,Дэвид Брин,научная фантастика,1985-11-01T00:00:00Z,
http://www.wikidata.org/entity/Q901356,Подвиньтесь! Подвиньтесь!,http://www.wikidata.org/entity/Q489193,Гарри Гаррисон,научная фантастика,1966-01-01T00:00:00Z,Doubleday
